date;heure;NO2;O3
;;microg/m3;microg/m3
12/05/2008;17;12;120
12/05/2008;18;17;114
12/05/2008;19;24;105
12/05/2008;20;34;91
12/05/2008;21;33;84
12/05/2008;22;32;81
12/05/2008;23;37;73
12/05/2008;24;33;74
13/05/2008;1;25;83
13/05/2008;2;23;81
13/05/2008;3;18;86
13/05/2008;4;18;82
13/05/2008;5;42;53
13/05/2008;6;84;16
13/05/2008;7;73;38
13/05/2008;8;81;40
13/05/2008;9;89;39
13/05/2008;10;65;70
13/05/2008;11;29;107
13/05/2008;12;18;121
13/05/2008;13;14;129
13/05/2008;14;21;124
13/05/2008;15;17;124
13/05/2008;16;17;125
13/05/2008;17;18;122
13/05/2008;18;29;112
13/05/2008;19;25;114
13/05/2008;20;36;92
13/05/2008;21;66;62
13/05/2008;22;51;68
13/05/2008;23;46;59
13/05/2008;24;54;44
14/05/2008;1;79;17
14/05/2008;2;70;29
14/05/2008;3;49;56
14/05/2008;4;43;55
14/05/2008;5;55;41
14/05/2008;6;68;33
14/05/2008;7;110;9
14/05/2008;8;114;16
14/05/2008;9;112;28
14/05/2008;10;77;65
14/05/2008;11;50;83
14/05/2008;12;19;126
14/05/2008;13;20;127
14/05/2008;14;26;120
14/05/2008;15;26;110
14/05/2008;16;34;98
14/05/2008;17;55;65
14/05/2008;18;66;53
14/05/2008;19;41;74
14/05/2008;20;60;55
14/05/2008;21;55;56
14/05/2008;22;26;71
14/05/2008;23;37;59
14/05/2008;24;32;66
15/05/2008;1;27;72
15/05/2008;2;30;62
15/05/2008;3;26;64
15/05/2008;4;36;47
15/05/2008;5;44;33
15/05/2008;6;57;26
15/05/2008;7;66;18
15/05/2008;8;48;30
15/05/2008;9;48;32
15/05/2008;10;37;47
15/05/2008;11;27;64
15/05/2008;12;25;65
15/05/2008;13;19;73
15/05/2008;14;25;75
15/05/2008;15;20;83
15/05/2008;16;19;86
15/05/2008;17;24;83
15/05/2008;18;27;80
15/05/2008;19;30;74
15/05/2008;20;35;68
15/05/2008;21;47;52
15/05/2008;22;69;23
15/05/2008;23;90;2
15/05/2008;24;63;18
16/05/2008;1;45;24
16/05/2008;2;53;16
16/05/2008;3;58;9
16/05/2008;4;53;9
16/05/2008;5;55;6
16/05/2008;6;72;3
16/05/2008;7;76;10
16/05/2008;8;75;19
16/05/2008;9;40;57
16/05/2008;10;35;70
16/05/2008;11;31;81
16/05/2008;12;26;89
16/05/2008;13;23;95
16/05/2008;14;22;98
16/05/2008;15;21;95
16/05/2008;16;34;77
16/05/2008;17;65;53
16/05/2008;18;78;35
